Media,Title,Category,Tile Keyword,Author Last Name,Author First Name
Book,The Wizard of Oz,Fiction,,Baum,Frank
,Of Mice and Men,Fiction,,Steinbeck,John
,Cold Mountain,Fiction,,Frazier,Charles
,The Life of PI,Fiction,,Martel,Yann
,Java For Dummies,,,,
,Moby Dick,Fiction,,Melville,Herman
,Into Thin Air,Non Fiction,,Krakauer,John
,Gone With the Wind,Fiction,,Mitchell,Margaret
,To Kill a Mockingbird,Fiction,,Lee,Harper
,The Far Side,Fiction,,Larson,Gary
,Old Yeller,Fiction,,Gipson,Fred
,David Copperfield,Fiction,,Dickens,Charles
,The Importance of Being Earnest,Fiction,,Shakespeare,William
,Othello,Fiction,,Shakespeare,William
,Twelth Night,Fiction,,Shakespeare,William
,Hamlet,Fiction,,Shakespeare,William
,The Pelican Brief,Fiction,,Gresham,John
,The Firm,Fiction,,Gresham,John
,The Street Lawyer,Fiction,,Gresham,John
,,,,,
DVD ,Of Mice and Men,Drama,,,
DVD ,Cold Mountain,Drama,,,
DVD ,The Life of PI,Drama,,,
DVD ,Caddyshack,Comedy,,,
DVD ,The Best Man,Comedy,,,
DVD ,Best Man Holiday,Drama,,,
DVD ,The Little Mermaid,Cartoon,,,
DVD ,Mystic River,Drama,,,
DVD ,The Quiet Man,Comedy,,,
DVD ,The Hunt for Red October,Drama,,,
DVD ,O Brother Where Art Thou,Comedy,,,
DVD ,Brian's Song,Drama,,,
DVD ,Star Wars; The Return of the Jedi,Drama,,,
DVD ,Star Wars; The Empire Strikes Back,Drama,,,
DVD ,The Turning Point,Drama,,,
,,,,,
CD,Greetings From Asbury Park,,,Springsteen,Bruce
CD,Born To Run,,,Springsteen,Bruce
CD,Al Green's Greatest Hits,,,Green,Al
CD,The Sound of Music Soundtrack,,,Andrews,Julie
CD,In the Wee Small Hours of the Morning,,,Sinatra,Frank
CD,Live at the Pershing,,,Jamal,Ahmed
CD,Hard Days Night,,,Beatles,
CD,25,,,,Adele
CD,Lemonade,,,,Beyonce
